2026-07-03 10:42:07,728 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493411&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:07,965 | INFO | src.attachment_extractor | Extracted attachment text (1823 chars): https://www.korea.kr/common/download.do?fileId=198493411&tblKey=GMN
2026-07-03 10:42:07,976 | INFO | src.article_enrichment | Enriched article (1342 → 4718 chars, attachments=1, plan=False): 환경영향평가 대행비용 자동산정시스템, 6월 22일부터 전면 확대 운영
2026-07-03 10:42:08,445 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767396 "HTTP/1.1 200 OK"
2026-07-03 10:42:08,748 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493409&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:08,936 | INFO | src.attachment_extractor | Extracted attachment text (3042 chars): https://www.korea.kr/common/download.do?fileId=198493409&tblKey=GMN
2026-07-03 10:42:09,175 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493408&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:09,429 | INFO | src.article_enrichment | Enriched article (2099 → 6750 chars, attachments=1, plan=False): '차세대 냉매' 도입 앞당기고, '재생냉매' 다시 쓴다… 냉매 전주기 기술개발 본격 착수
2026-07-03 10:42:09,873 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767395 "HTTP/1.1 200 OK"
2026-07-03 10:42:10,285 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493376&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:10,560 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493377&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:10,601 | INFO | src.article_enrichment | Enriched article (1447 → 2953 chars, attachments=0, plan=False): 우주환경시험 부담을 완화하여 기업·대학의 우주기기 개발을 뒷받침한다
2026-07-03 10:42:11,072 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767394 "HTTP/1.1 200 OK"
2026-07-03 10:42:11,339 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493374&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:11,793 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493375&tblKey=GMN "HTTP/1.1 200 OK"
